repo,seed,ratio,case_id,method,recall1,recall3,recall5,mrr,precision5,fix,accept,fir,regfail,n_gt,top1_target,deleted_gt
tinydb,42,0.1,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.1,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.1,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.1,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.1,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.1,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.1,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.1,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.1,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.2,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.2,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.2,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.2,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.2,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.2,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.2,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.2,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.2,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.3,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.3,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,42,0.3,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.3,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.3,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,43,0.3,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.3,T2_all_breaks,combined,1.0,1.0,1.0,1.0,0.5,1,0,0.1111,0.3333,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.3,T3_insert_sig,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
tinydb,44,0.3,T6_doc_required_attr,combined,1.0,1.0,1.0,1.0,0.5,1,1,0.0,0.1667,1,testing_completion,tinydb/table.py->testing_completion
cerberus,43,0.1,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
cerberus,44,0.1,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
cerberus,43,0.2,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
cerberus,44,0.2,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
cerberus,43,0.3,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
cerberus,44,0.3,C3_remove_allowed,combined,1.0,1.0,1.0,1.0,1.0,1,1,0.1429,0.0,1,testing_completion,cerberus/validator.py->testing_completion
