granularity,case,recall3,cf_fix,patch_accept,n_badcases
file,Tc03,0.0,1,1,
file,Tc04,0.0,1,1,
file,Cc01,0.0,1,1,
file,Cc02,0.0,1,1,
file,Cc04,0.0,1,1,
file,Cc05,0.0,1,1,
file,Cc06,0.0,1,1,
file,Cc08,0.0,1,1,
file,Cc09,0.0,1,1,
file,Bc07,1.0,1,1,
file,Bc09,1.0,1,1,
file,Bc10,1.0,1,1,
file,Tc03,0.0,1,1,
file,Tc04,0.0,1,1,
file,Pc04,1.0,1,1,
file_TOTAL,AGG,0.2667,15,15,15
contract,Tc03,0.0,1,1,
contract,Tc04,0.0,1,1,
contract,Cc01,0.0,1,1,
contract,Cc02,0.0,1,1,
contract,Cc04,0.0,1,1,
contract,Cc05,1.0,1,1,
contract,Cc06,0.0,1,1,
contract,Cc08,0.0,1,1,
contract,Cc09,0.0,1,1,
contract,Bc07,1.0,1,1,
contract,Bc09,1.0,1,1,
contract,Bc10,1.0,1,1,
contract,Tc03,0.0,1,1,
contract,Tc04,0.0,1,1,
contract,Pc04,1.0,1,1,
contract_TOTAL,AGG,0.3333,15,15,15
