case_id,repo,claim,symbol,kind,n_candidates,rank1,rank1_sens,hit1,hit3,n_heldout_fail_in_candidates
tdc03,tinydb,dev_b_completion,Table.insert,CHANGE_RETURN_TYPE,5,tests/test_tinydb.py,0.6,1,1,1
tdc03,tinydb,testing_completion,Table.insert,CHANGE_RETURN_TYPE,4,tests/test_tinydb.py,0.6,1,1,1
tdc04,tinydb,dev_b_completion,Table.insert_multiple,CHANGE_RETURN_TYPE,5,tests/test_tinydb.py,0.6,1,1,1
tdc04,tinydb,testing_completion,Table.insert_multiple,CHANGE_RETURN_TYPE,4,tests/test_tinydb.py,0.6,1,1,1
tdc05,tinydb,dev_b_completion,Table.all,ADD_REQUIRED_PARAM,6,tests/test_tinydb.py,0.4,1,1,4
tdc05,tinydb,testing_completion,Table.all,ADD_REQUIRED_PARAM,5,tests/test_tinydb.py,0.4,1,1,4
tdc09,tinydb,dev_b_completion,Table.update,CHANGE_RETURN_TYPE,5,tests/test_tinydb.py,0.6,1,1,2
tdc09,tinydb,testing_completion,Table.update,CHANGE_RETURN_TYPE,5,tests/test_tinydb.py,0.6,1,1,1
tdc10,tinydb,dev_b_completion,Table.update_multiple,ADD_REQUIRED_PARAM,5,tests/test_tinydb.py,0.4,1,1,5
tdc10,tinydb,testing_completion,Table.update_multiple,ADD_REQUIRED_PARAM,4,tests/test_tinydb.py,0.4,1,1,4
cec01,cerberus,dev_b_completion,dummy_for_rule_validation,BODY_ONLY,3,cerberus/tests/test_validation.py,0.0,0,0,0
cec01,cerberus,testing_completion,dummy_for_rule_validation,BODY_ONLY,5,cerberus/tests/test_validation.py,0.0,0,0,0
cec02,cerberus,dev_b_completion,BareValidator.clear_caches,ADD_OPTIONAL_PARAM,3,cerberus/tests/test_assorted.py,0.1,0,0,0
cec02,cerberus,testing_completion,BareValidator.clear_caches,ADD_OPTIONAL_PARAM,5,cerberus/tests/test_assorted.py,0.1,0,0,0
cec03,cerberus,dev_b_completion,BareValidator.allow_unknown,CHANGE_RETURN_TYPE,3,cerberus/tests/test_validation.py,0.0,1,1,3
cec03,cerberus,testing_completion,BareValidator.allow_unknown,CHANGE_RETURN_TYPE,5,cerberus/tests/test_validation.py,0.0,1,1,5
cec04,cerberus,dev_b_completion,BareValidator.require_all,CHANGE_RETURN_TYPE,3,cerberus/tests/test_validation.py,0.0,1,1,1
cec04,cerberus,testing_completion,BareValidator.require_all,CHANGE_RETURN_TYPE,5,cerberus/tests/test_validation.py,0.0,1,1,1
cec05,cerberus,dev_b_completion,BareValidator.errors,ADD_REQUIRED_PARAM,3,cerberus/tests/test_validation.py,0.0,1,1,2
cec05,cerberus,testing_completion,BareValidator.errors,ADD_REQUIRED_PARAM,5,cerberus/tests/test_validation.py,0.0,1,1,5
cec06,cerberus,dev_b_completion,BareValidator.ignore_none_values,BODY_ONLY,3,cerberus/tests/test_validation.py,0.0,0,0,0
cec06,cerberus,testing_completion,BareValidator.ignore_none_values,BODY_ONLY,5,cerberus/tests/test_validation.py,0.0,0,0,0
cec07,cerberus,dev_b_completion,BareValidator.is_child,CHANGE_RETURN_TYPE,3,cerberus/tests/test_validation.py,0.0,1,1,3
cec07,cerberus,testing_completion,BareValidator.is_child,CHANGE_RETURN_TYPE,5,cerberus/tests/test_validation.py,0.0,1,1,5
cec08,cerberus,dev_b_completion,BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,3,cerberus/tests/test_validation.py,0.0,0,0,0
cec08,cerberus,testing_completion,BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,5,cerberus/tests/test_validation.py,0.0,0,0,0
cec09,cerberus,dev_b_completion,BareValidator.purge_readonly,CHANGE_RETURN_TYPE,3,cerberus/tests/test_validation.py,0.0,1,1,1
cec09,cerberus,testing_completion,BareValidator.purge_readonly,CHANGE_RETURN_TYPE,5,cerberus/tests/test_validation.py,0.0,1,1,1
cec10,cerberus,dev_b_completion,BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,3,cerberus/tests/test_validation.py,0.0,1,1,3
cec10,cerberus,testing_completion,BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,5,cerberus/tests/test_validation.py,0.0,1,1,5
boc07,boltons,dev_b_completion,split,CHANGE_RETURN_TYPE,1,tests/test_iterutils.py,0.0,1,1,1
boc07,boltons,testing_completion,split,CHANGE_RETURN_TYPE,1,tests/test_iterutils.py,0.0,1,1,1
boc09,boltons,dev_b_completion,lstrip,CHANGE_RETURN_TYPE,1,tests/test_iterutils.py,0.6,1,1,1
boc09,boltons,testing_completion,lstrip,CHANGE_RETURN_TYPE,1,tests/test_iterutils.py,0.6,1,1,1
boc10,boltons,dev_b_completion,lstrip_iter,ADD_REQUIRED_PARAM,1,tests/test_iterutils.py,0.0,1,1,1
boc10,boltons,testing_completion,lstrip_iter,ADD_REQUIRED_PARAM,1,tests/test_iterutils.py,0.0,1,1,1
tzc03,toolz,dev_b_completion,groupby,CHANGE_RETURN_TYPE,2,toolz/tests/test_itertoolz.py,0.6,1,1,1
tzc03,toolz,testing_completion,groupby,CHANGE_RETURN_TYPE,3,toolz/tests/test_itertoolz.py,0.6,1,1,1
tzc04,toolz,dev_b_completion,merge_sorted,CHANGE_RETURN_TYPE,2,toolz/tests/test_itertoolz.py,0.6,1,1,2
tzc04,toolz,testing_completion,merge_sorted,CHANGE_RETURN_TYPE,3,toolz/tests/test_itertoolz.py,0.6,1,1,3
