repo,test_file,contract,change_kind,coverage_score,assertion_sensitivity,evidence
tinydb,tests/test_tinydb.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.6,"{""test_fn"":""test_insert_ids"",""direct_calls"":[""insert""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_ar"
tinydb,tests/test_utils.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_tables.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_tables_list"",""direct_calls"":[""insert""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_"
tinydb,tests/test_operations.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_queries.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_storages.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_json_kwargs"",""direct_calls"":[""insert""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_"
tinydb,tests/test_middlewares.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_caching_json_write"",""direct_calls"":[""insert""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_"
tinydb,tests/test_tinydb.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.6,"{""test_fn"":""test_insert_multiple_with_ids"",""direct_calls"":[""insert_multiple""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":"
tinydb,tests/test_utils.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_tables.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_one_table"",""direct_calls"":[""insert_multiple""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_"
tinydb,tests/test_operations.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_queries.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_storages.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_middlewares.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_tinydb.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_all"",""direct_calls"":[""all""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_around_call"""
tinydb,tests/test_utils.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_tables.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_table_is_iterable"",""direct_calls"":[""all""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raise"
tinydb,tests/test_operations.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_queries.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_all"",""direct_calls"":[""all""],""returned_vars"":[""query""],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_aroun"
tinydb,tests/test_storages.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_read_once"",""direct_calls"":[""all""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_aroun"
