case_id,repo,claim,changed_contract,n_required,n_currently_covered,n_missing,gap
tdc03,tinydb,dev_b_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,20,20,15,1
tdc03,tinydb,testing_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert,20,39,11,1
tdc04,tinydb,dev_b_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,20,20,15,1
tdc04,tinydb,testing_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.insert_multiple,20,39,11,1
tdc05,tinydb,dev_b_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,20,20,15,1
tdc05,tinydb,testing_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,20,39,11,1
tdc09,tinydb,dev_b_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,20,20,15,1
tdc09,tinydb,testing_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,20,39,11,1
tdc10,tinydb,dev_b_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,20,20,15,1
tdc10,tinydb,testing_completion,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,20,39,11,1
cec01,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,23,78,5,1
cec01,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,23,64,6,1
cec02,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,23,78,5,1
cec02,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,23,64,6,1
cec03,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,23,78,5,1
cec03,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,23,64,6,1
cec04,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,23,78,5,1
cec04,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,23,64,6,1
cec05,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,23,78,5,1
cec05,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,23,64,6,1
cec06,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,23,78,5,1
cec06,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,23,64,6,1
cec07,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,23,78,5,1
cec07,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,23,64,6,1
cec08,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,23,78,5,1
cec08,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,23,64,6,1
cec09,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,23,78,5,1
cec09,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,23,64,6,1
cec10,cerberus,dev_b_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,23,78,5,1
cec10,cerberus,testing_completion,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,23,64,6,1
boc07,boltons,dev_b_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::split,49,17,49,1
boc07,boltons,testing_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::split,49,12,49,1
boc09,boltons,dev_b_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,49,17,49,1
boc09,boltons,testing_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,49,12,49,1
boc10,boltons,dev_b_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,49,17,49,1
boc10,boltons,testing_completion,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,49,12,49,1
tzc03,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::groupby,37,22,32,1
tzc03,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::groupby,37,29,36,1
tzc04,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::merge_sorted,37,22,32,1
tzc04,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::merge_sorted,37,29,36,1
tzc05,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::interleave,37,22,32,1
tzc05,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::interleave,37,29,36,1
tzc07,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::isiterable,37,22,32,1
tzc07,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::isiterable,37,29,36,1
tzc08,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::isdistinct,37,22,32,1
tzc08,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::isdistinct,37,29,36,1
tzc09,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::take,37,22,32,1
tzc09,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::take,37,29,36,1
tzc10,toolz,dev_b_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::tail,37,22,32,1
tzc10,toolz,testing_completion,toolz/itertoolz.py::FUNCTION_SIGNATURE::tail,37,29,36,1
ppc03,pyparsing,dev_b_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.items,39,132,29,1
ppc03,pyparsing,testing_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.items,39,186,23,1
ppc04,pyparsing,dev_b_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.haskeys,39,132,29,1
ppc04,pyparsing,testing_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.haskeys,39,186,23,1
ppc05,pyparsing,dev_b_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.pop,39,132,29,1
ppc05,pyparsing,testing_completion,pyparsing/results.py::FUNCTION_SIGNATURE::ParseResults.pop,39,186,23,1
