level,strategy,detection_rate,vrr,avg_test_count,total_runtime,avg_relative_cost,case_id,repo,claim,true_break,gap,existing_detects,Local_detect,DependencyOnly_detect,ObligationAware_detect,IntegrationAll_detect,Local_relcost,DependencyOnly_relcost,ObligationAware_relcost,IntegrationAll_relcost,OA_selected_extra,OA_coverage_achieved,failure_type
AGGREGATE,Local,0.2857,0.2857,1.0,15.399,0.1117,,,,,,,,,,,,,,,,,
AGGREGATE,DependencyOnly,0.2857,0.2857,1.0,15.399,0.1117,,,,,,,,,,,,,,,,,
AGGREGATE,ObligationAware,0.6607,0.6607,2.05,33.205,0.234,,,,,,,,,,,,,,,,,
AGGREGATE,IntegrationAll,1.0,1.0,8.07,140.024,1.0,,,,,,,,,,,,,,,,,
PER_CASE,,,,,,,tdc03,tinydb,dev_b_completion,True,True,False,0,0,0,1,0.122,0.122,0.2733,1.0,['tests/test_tables.py'],0.85,B
PER_CASE,,,,,,,tdc03,tinydb,testing_completion,True,True,False,0,0,0,1,0.1201,0.1201,0.2714,1.0,['tests/test_tables.py'],0.85,B
PER_CASE,,,,,,,tdc04,tinydb,dev_b_completion,True,True,False,0,0,0,1,0.122,0.122,0.2733,1.0,['tests/test_tables.py'],0.85,B
PER_CASE,,,,,,,tdc04,tinydb,testing_completion,True,True,False,0,0,0,1,0.1201,0.1201,0.2714,1.0,['tests/test_tables.py'],0.85,B
PER_CASE,,,,,,,tdc05,tinydb,dev_b_completion,True,True,False,0,0,1,1,0.122,0.122,0.2733,1.0,['tests/test_tables.py'],0.85,A
PER_CASE,,,,,,,tdc05,tinydb,testing_completion,True,True,False,0,0,1,1,0.1201,0.1201,0.2714,1.0,['tests/test_tables.py'],0.85,A
PER_CASE,,,,,,,tdc09,tinydb,dev_b_completion,True,True,False,0,0,0,1,0.122,0.122,0.2733,1.0,['tests/test_tables.py'],0.85,B
PER_CASE,,,,,,,tdc09,tinydb,testing_completion,True,True,True,1,1,1,1,0.1201,0.1201,0.2714,1.0,['tests/test_tables.py'],0.85,A
PER_CASE,,,,,,,tdc10,tinydb,dev_b_completion,True,True,True,1,1,1,1,0.122,0.122,0.2733,1.0,['tests/test_tables.py'],0.85,A
PER_CASE,,,,,,,tdc10,tinydb,testing_completion,True,True,True,1,1,1,1,0.1201,0.1201,0.2714,1.0,['tests/test_tables.py'],0.85,A
PER_CASE,,,,,,,cec01,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec01,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec02,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec02,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec03,cerberus,dev_b_completion,True,True,True,1,1,1,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec03,cerberus,testing_completion,True,True,True,1,1,1,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec04,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec04,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec05,cerberus,dev_b_completion,True,True,True,1,1,1,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec05,cerberus,testing_completion,True,True,False,0,0,1,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec06,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec06,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec07,cerberus,dev_b_completion,True,True,True,1,1,1,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec07,cerberus,testing_completion,True,True,True,1,1,1,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
PER_CASE,,,,,,,cec08,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec08,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec09,cerberus,dev_b_completion,True,True,False,0,0,0,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec09,cerberus,testing_completion,True,True,False,0,0,0,1,0.1153,0.1153,0.2088,1.0,['cerberus/tests/test_assorted.py'],0.8261,B
PER_CASE,,,,,,,cec10,cerberus,dev_b_completion,True,True,True,1,1,1,1,0.1148,0.1148,0.2083,1.0,['cerberus/tests/test_assorted.py'],0.8261,A
