case_id,repo,claim,gap,n_missing,selected_extra,n_selected_extra,coverage_achieved,extra_cost,threshold
tdc03,tinydb,dev_b_completion,1,15,tests/test_tables.py,1,0.85,0.569,0.8
tdc03,tinydb,testing_completion,1,11,tests/test_tables.py,1,0.85,0.569,0.8
tdc04,tinydb,dev_b_completion,1,15,tests/test_tables.py,1,0.85,0.569,0.8
tdc04,tinydb,testing_completion,1,11,tests/test_tables.py,1,0.85,0.569,0.8
tdc05,tinydb,dev_b_completion,1,15,tests/test_tables.py,1,0.85,0.569,0.8
tdc05,tinydb,testing_completion,1,11,tests/test_tables.py,1,0.85,0.569,0.8
tdc09,tinydb,dev_b_completion,1,15,tests/test_tables.py,1,0.85,0.569,0.8
tdc09,tinydb,testing_completion,1,11,tests/test_tables.py,1,0.85,0.569,0.8
tdc10,tinydb,dev_b_completion,1,15,tests/test_tables.py,1,0.85,0.569,0.8
tdc10,tinydb,testing_completion,1,11,tests/test_tables.py,1,0.85,0.569,0.8
cec01,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec01,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec02,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec02,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec03,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec03,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec04,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec04,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec05,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec05,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec06,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec06,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec07,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec07,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec08,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec08,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec09,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec09,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec10,cerberus,dev_b_completion,1,5,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
cec10,cerberus,testing_completion,1,6,cerberus/tests/test_assorted.py,1,0.8261,0.185,0.8
boc07,boltons,dev_b_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
boc07,boltons,testing_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
boc09,boltons,dev_b_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
boc09,boltons,testing_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
boc10,boltons,dev_b_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
boc10,boltons,testing_completion,1,49,tests/test_iterutils.py,1,0.6531,0.271,0.8
tzc03,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc03,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc04,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc04,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc05,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc05,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc07,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc07,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc08,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc08,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc09,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc09,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc10,toolz,dev_b_completion,1,32,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
tzc10,toolz,testing_completion,1,36,toolz/tests/test_itertoolz.py,1,1.0,0.26,0.8
ppc03,pyparsing,dev_b_completion,1,29,tests/test_simple_unit.py|tests/test_pre_pep8_deprecation_warnings.py,2,0.5128,0.695,0.8
