repo,contract_id,symbol,file,line_start,line_end,extraction_reason,n_callers,n_public_ancestors
tinydb,tinydb/queries.py::PRIVATE_BEHAVIOR_CONTRACT::Query._generate_test,Query._generate_test,tinydb/queries.py,215,249,MULTI_SIGNAL,14,8
tinydb,tinydb/table.py::PRIVATE_BEHAVIOR_CONTRACT::Table._get_next_id,Table._get_next_id,tinydb/table.py,727,760,MULTI_SIGNAL,3,3
tinydb,tinydb/table.py::PRIVATE_BEHAVIOR_CONTRACT::Table._read_table,Table._read_table,tinydb/table.py,762,785,MULTI_SIGNAL,5,2
tinydb,tinydb/table.py::PRIVATE_BEHAVIOR_CONTRACT::Table._update_table,Table._update_table,tinydb/table.py,787,837,MULTI_SIGNAL,7,6
tinydb,tinydb/utils.py::PRIVATE_BEHAVIOR_CONTRACT::FrozenDict._immutable,FrozenDict._immutable,tinydb/utils.py,127,128,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::ErrorTreeNode._path_of_,ErrorTreeNode._path_of_,cerberus/errors.py,279,280,MULTI_SIGNAL,1,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._format_message,BasicErrorHandler._format_message,cerberus/errors.py,549,552,MULTI_SIGNAL,3,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._insert_error,BasicErrorHandler._insert_error,cerberus/errors.py,554,580,MULTI_SIGNAL,4,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._insert_group_error,BasicErrorHandler._insert_group_error,cerberus/errors.py,582,592,MULTI_SIGNAL,3,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._insert_logic_error,BasicErrorHandler._insert_logic_error,cerberus/errors.py,594,608,MULTI_SIGNAL,3,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._purge_empty_dicts,BasicErrorHandler._purge_empty_dicts,cerberus/errors.py,610,616,MULTI_SIGNAL,2,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._rewrite_error_path,BasicErrorHandler._rewrite_error_path,cerberus/errors.py,618,625,MULTI_SIGNAL,3,1
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._rewrite_group_error_path,BasicErrorHandler._rewrite_group_error_path,cerberus/errors.py,627,634,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/errors.py::PRIVATE_BEHAVIOR_CONTRACT::BasicErrorHandler._rewrite_logic_error_path,BasicErrorHandler._rewrite_logic_error_path,cerberus/errors.py,636,650,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::DefinitionSchema._expand_logical_shortcuts,DefinitionSchema._expand_logical_shortcuts,cerberus/schema.py,136,156,MULTI_SIGNAL,1,1
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::DefinitionSchema._expand_subschemas,DefinitionSchema._expand_subschemas,cerberus/schema.py,159,196,MULTI_SIGNAL,1,1
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::DefinitionSchema._rename_deprecated_rulenames,DefinitionSchema._rename_deprecated_rulenames,cerberus/schema.py,219,247,MULTI_SIGNAL,1,1
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::DefinitionSchema._validate,DefinitionSchema._validate,cerberus/schema.py,268,283,MULTI_SIGNAL,1,1
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._check_with_bulk_schema,SchemaValidatorMixin._check_with_bulk_schema,cerberus/schema.py,341,371,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._check_with_dependencies,SchemaValidatorMixin._check_with_dependencies,cerberus/schema.py,373,387,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._check_with_items,SchemaValidatorMixin._check_with_items,cerberus/schema.py,389,391,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._check_with_schema,SchemaValidatorMixin._check_with_schema,cerberus/schema.py,393,410,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._check_with_type,SchemaValidatorMixin._check_with_type,cerberus/schema.py,412,418,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._expand_rules_set_refs,SchemaValidatorMixin._expand_rules_set_refs,cerberus/schema.py,420,427,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._handle_schema_reference_for_validator,SchemaValidatorMixin._handle_schema_reference_for_validator,cerberus/schema.py,429,441,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaValidatorMixin._validate_logical,SchemaValidatorMixin._validate_logical,cerberus/schema.py,443,467,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::SchemaRegistry._expand_definition,SchemaRegistry._expand_definition,cerberus/schema.py,544,545,MULTI_SIGNAL,1,1
cerberus,cerberus/schema.py::PRIVATE_BEHAVIOR_CONTRACT::RulesSetRegistry._expand_definition,RulesSetRegistry._expand_definition,cerberus/schema.py,550,551,MULTI_SIGNAL,1,1
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._error,BareValidator._error,cerberus/validator.py,234,313,DYNAMICALLY_COVERED,40,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._get_child_validator,BareValidator._get_child_validator,cerberus/validator.py,315,360,DYNAMICALLY_COVERED,16,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._drop_nodes_from_errorpaths,BareValidator._drop_nodes_from_errorpaths,cerberus/validator.py,372,393,DYNAMICALLY_COVERED,9,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._lookup_field,BareValidator._lookup_field,cerberus/validator.py,395,423,DYNAMICALLY_COVERED,2,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._resolve_rules_set,BareValidator._resolve_rules_set,cerberus/validator.py,425,430,DYNAMICALLY_COVERED,6,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._resolve_schema,BareValidator._resolve_schema,cerberus/validator.py,432,437,DYNAMICALLY_COVERED,3,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._is_normalized,BareValidator._is_normalized,cerberus/validator.py,499,501,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._is_normalized,BareValidator._is_normalized,cerberus/validator.py,504,505,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._drop_remaining_rules,BareValidator._drop_remaining_rules,cerberus/validator.py,649,662,DYNAMICALLY_COVERED,5,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_coerce,BareValidator._normalize_coerce,cerberus/validator.py,712,743,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_purge_unknown,BareValidator._normalize_purge_unknown,cerberus/validator.py,894,898,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_rename,BareValidator._normalize_rename,cerberus/validator.py,914,918,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_rename_handler,BareValidator._normalize_rename_handler,cerberus/validator.py,920,937,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_default,BareValidator._normalize_default,cerberus/validator.py,990,992,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._normalize_default_setter,BareValidator._normalize_default_setter,cerberus/validator.py,994,1005,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_allowed,BareValidator._validate_allowed,cerberus/validator.py,1128,1136,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_check_with,BareValidator._validate_check_with,cerberus/validator.py,1138,1164,DYNAMICALLY_COVERED,1,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_contains,BareValidator._validate_contains,cerberus/validator.py,1166,1180,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_dependencies,BareValidator._validate_dependencies,cerberus/validator.py,1182,1200,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_empty,BareValidator._validate_empty,cerberus/validator.py,1225,1238,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_excludes,BareValidator._validate_excludes,cerberus/validator.py,1240,1260,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_forbidden,BareValidator._validate_forbidden,cerberus/validator.py,1262,1270,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_items,BareValidator._validate_items,cerberus/validator.py,1272,1290,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_anyof,BareValidator._validate_anyof,cerberus/validator.py,1319,1323,DYNAMICALLY_COVERED,0,0
cerberus,cerberus/validator.py::PRIVATE_BEHAVIOR_CONTRACT::BareValidator._validate_allof,BareValidator._validate_allof,cerberus/validator.py,1325,1329,DYNAMICALLY_COVERED,0,0
