case_id,repo,symbol,kind,cov_only_files,cov_only_detect,assert_aware_files,assert_aware_detect,cov_hit3,assert_hit3,failure_class
tdc03,tinydb,Table.insert,CHANGE_RETURN_TYPE,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc03,tinydb,Table.insert,CHANGE_RETURN_TYPE,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc04,tinydb,Table.insert_multiple,CHANGE_RETURN_TYPE,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc04,tinydb,Table.insert_multiple,CHANGE_RETURN_TYPE,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc05,tinydb,Table.all,ADD_REQUIRED_PARAM,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc05,tinydb,Table.all,ADD_REQUIRED_PARAM,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
tdc09,tinydb,Table.update,CHANGE_RETURN_TYPE,tests/test_tables.py|tests/test_tinydb.py,1,tests/test_tables.py|tests/test_tinydb.py,1,1,1,Detected
cec01,cerberus,dummy_for_rule_validation,BODY_ONLY,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec01,cerberus,dummy_for_rule_validation,BODY_ONLY,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec02,cerberus,BareValidator.clear_caches,ADD_OPTIONAL_PARAM,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec02,cerberus,BareValidator.clear_caches,ADD_OPTIONAL_PARAM,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec04,cerberus,BareValidator.require_all,CHANGE_RETURN_TYPE,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,1,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,1,1,1,Detected
cec04,cerberus,BareValidator.require_all,CHANGE_RETURN_TYPE,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,1,1,Detected
cec05,cerberus,BareValidator.errors,ADD_REQUIRED_PARAM,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,1,1,Detected
cec06,cerberus,BareValidator.ignore_none_values,BODY_ONLY,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec06,cerberus,BareValidator.ignore_none_values,BODY_ONLY,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec08,cerberus,BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec08,cerberus,BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,0,0,0,SelectorFailure
cec09,cerberus,BareValidator.purge_readonly,CHANGE_RETURN_TYPE,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,1,cerberus/tests/test_assorted.py|cerberus/tests/test_validation.py,1,1,1,Detected
cec09,cerberus,BareValidator.purge_readonly,CHANGE_RETURN_TYPE,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,cerberus/tests/test_assorted.py|cerberus/tests/test_registries.py|cerberus/tests/test_validation.py,1,1,1,Detected
boc07,boltons,split,CHANGE_RETURN_TYPE,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
boc07,boltons,split,CHANGE_RETURN_TYPE,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
boc09,boltons,lstrip,CHANGE_RETURN_TYPE,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
boc09,boltons,lstrip,CHANGE_RETURN_TYPE,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
boc10,boltons,lstrip_iter,ADD_REQUIRED_PARAM,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
boc10,boltons,lstrip_iter,ADD_REQUIRED_PARAM,tests/test_iterutils.py,1,tests/test_iterutils.py,1,1,1,Detected
tzc03,toolz,groupby,CHANGE_RETURN_TYPE,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc03,toolz,groupby,CHANGE_RETURN_TYPE,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc05,toolz,interleave,ADD_REQUIRED_PARAM,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc05,toolz,interleave,ADD_REQUIRED_PARAM,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc08,toolz,isdistinct,ADD_OPTIONAL_PARAM,toolz/tests/test_itertoolz.py,0,toolz/tests/test_itertoolz.py,0,0,0,SelectorFailure
tzc08,toolz,isdistinct,ADD_OPTIONAL_PARAM,toolz/tests/test_itertoolz.py,0,toolz/tests/test_itertoolz.py,0,0,0,SelectorFailure
tzc09,toolz,take,CHANGE_RETURN_TYPE,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc09,toolz,take,CHANGE_RETURN_TYPE,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc10,toolz,tail,ADD_REQUIRED_PARAM,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
tzc10,toolz,tail,ADD_REQUIRED_PARAM,toolz/tests/test_itertoolz.py,1,toolz/tests/test_itertoolz.py,1,1,1,Detected
ppc03,pyparsing,ParseResults.items,CHANGE_RETURN_TYPE,tests/test_simple_unit.py|tests/test_pre_pep8_deprecation_warnings.py,1,tests/test_simple_unit.py|tests/test_pre_pep8_deprecation_warnings.py,1,1,1,Detected
ppc03,pyparsing,ParseResults.items,CHANGE_RETURN_TYPE,tests/test_simple_unit.py,1,tests/test_simple_unit.py,1,1,1,Detected
ppc04,pyparsing,ParseResults.haskeys,CHANGE_RETURN_TYPE,tests/test_simple_unit.py|tests/test_pre_pep8_deprecation_warnings.py,1,tests/test_simple_unit.py|tests/test_pre_pep8_deprecation_warnings.py,1,1,1,Detected
ppc04,pyparsing,ParseResults.haskeys,CHANGE_RETURN_TYPE,tests/test_simple_unit.py,1,tests/test_simple_unit.py,1,1,1,Detected
