case_id,repo,claim,true_break,detect,n_files,early_stopped
tdc03,tinydb,dev_b_completion,True,1,2,0
tdc03,tinydb,testing_completion,True,1,2,0
tdc04,tinydb,dev_b_completion,True,1,2,0
tdc04,tinydb,testing_completion,True,1,2,0
tdc05,tinydb,dev_b_completion,True,1,2,0
tdc05,tinydb,testing_completion,True,1,2,0
tdc09,tinydb,dev_b_completion,True,1,2,0
tdc09,tinydb,testing_completion,True,1,1,1
tdc10,tinydb,dev_b_completion,True,1,1,1
tdc10,tinydb,testing_completion,True,1,1,1
cec01,cerberus,dev_b_completion,True,0,2,0
cec01,cerberus,testing_completion,True,0,2,0
cec02,cerberus,dev_b_completion,True,0,2,0
cec02,cerberus,testing_completion,True,0,2,0
cec03,cerberus,dev_b_completion,True,1,1,1
cec03,cerberus,testing_completion,True,1,1,1
cec04,cerberus,dev_b_completion,True,1,2,0
cec04,cerberus,testing_completion,True,1,2,0
cec05,cerberus,dev_b_completion,True,1,1,1
cec05,cerberus,testing_completion,True,1,2,0
cec06,cerberus,dev_b_completion,True,0,2,0
cec06,cerberus,testing_completion,True,0,2,0
cec07,cerberus,dev_b_completion,True,1,1,1
cec07,cerberus,testing_completion,True,1,1,1
cec08,cerberus,dev_b_completion,True,0,2,0
cec08,cerberus,testing_completion,True,0,2,0
cec09,cerberus,dev_b_completion,True,1,2,0
cec09,cerberus,testing_completion,True,1,2,0
cec10,cerberus,dev_b_completion,True,1,1,1
cec10,cerberus,testing_completion,True,1,1,1
boc07,boltons,dev_b_completion,True,1,2,0
boc07,boltons,testing_completion,True,1,2,0
boc09,boltons,dev_b_completion,True,1,2,0
boc09,boltons,testing_completion,True,1,2,0
boc10,boltons,dev_b_completion,True,1,2,0
boc10,boltons,testing_completion,True,1,2,0
tzc03,toolz,dev_b_completion,True,1,2,0
tzc03,toolz,testing_completion,True,1,2,0
tzc04,toolz,dev_b_completion,True,1,1,1
tzc04,toolz,testing_completion,True,1,1,1
tzc05,toolz,dev_b_completion,True,1,2,0
tzc05,toolz,testing_completion,True,1,2,0
tzc07,toolz,dev_b_completion,True,1,1,1
tzc07,toolz,testing_completion,True,1,1,1
tzc08,toolz,dev_b_completion,True,0,2,0
tzc08,toolz,testing_completion,True,0,2,0
tzc09,toolz,dev_b_completion,True,1,2,0
tzc09,toolz,testing_completion,True,1,2,0
tzc10,toolz,dev_b_completion,True,1,2,0
tzc10,toolz,testing_completion,True,1,2,0
ppc03,pyparsing,dev_b_completion,True,1,2,0
ppc03,pyparsing,testing_completion,True,1,2,0
ppc04,pyparsing,dev_b_completion,True,1,2,0
ppc04,pyparsing,testing_completion,True,1,2,0
ppc05,pyparsing,dev_b_completion,True,1,1,1
ppc05,pyparsing,testing_completion,True,1,1,1
